Statement of account
Account No: 50100123456789
Period: 01/04/2026 to 30/06/2026

Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/04/2026,SALARY CREDIT ACME TECHNOLOGIES PVT LTD,NEFT001234,01/04/2026,,185000.00,412300.50
02/04/2026,UPI-SWIGGY-swiggy@ybl-PAYTM-409123456,UPI409123,02/04/2026,486.00,,411814.50
03/04/2026,UPI-AWS AMAZON WEB SERVICES-aws@icici,UPI409188,03/04/2026,7412.00,,404402.50
05/04/2026,NEFT DR-RENT APRIL 2026-RAMESH KUMAR,NEFT001299,05/04/2026,38000.00,,366402.50
07/04/2026,UPI-BLINKIT-grofers@axisbank,UPI410233,07/04/2026,1240.50,,365162.00
09/04/2026,POS 4321 INDIAN OIL PETROL PUMP,POS88213,09/04/2026,2500.00,,362662.00
11/04/2026,UPI-ZERODHA BROKING LTD,UPI411002,11/04/2026,25000.00,,337662.00
14/04/2026,ATM CASH WDL BLR KORAMANGALA,ATM55123,14/04/2026,10000.00,,327662.00
16/04/2026,UPI-AIRTEL PREPAID RECHARGE,UPI412887,16/04/2026,399.00,,327263.00
18/04/2026,NEFT CR-INVOICE INV-2026-014-NIMBUS DESIGN,NEFT002011,18/04/2026,,75000.00,402263.00
20/04/2026,UPI-NETFLIX ENTERTAINMENT SERVICES,UPI413221,20/04/2026,649.00,,401614.00
22/04/2026,BESCOM ELECTRICITY BILL PAYMENT,BILL9921,22/04/2026,3120.00,,398494.00
25/04/2026,UPI-UBER INDIA SYSTEMS,UPI414010,25/04/2026,842.00,,397652.00
28/04/2026,GOOGLE ADS INDIA PVT LTD,NEFT002190,28/04/2026,18000.00,,379652.00
30/04/2026,INT.PD:01-04-2026 TO 30-04-2026,INT0430,30/04/2026,,1420.00,381072.00
01/05/2026,SALARY CREDIT ACME TECHNOLOGIES PVT LTD,NEFT002301,01/05/2026,,185000.00,566072.00
03/05/2026,UPI-ZOMATO ONLINE,UPI415667,03/05/2026,712.00,,565360.00
05/05/2026,NEFT DR-RENT MAY 2026-RAMESH KUMAR,NEFT002355,05/05/2026,38000.00,,527360.00
06/05/2026,UPI-BIGBASKET INNOVATIVE RETAIL,UPI416001,06/05/2026,3450.00,,523910.00
08/05/2026,GST PAYMENT CHALLAN CPIN 26050012345,GST0508,08/05/2026,42000.00,,481910.00
10/05/2026,HDFC CREDIT CARD PAYMENT AUTOPAY,CC051023,10/05/2026,64200.00,,417710.00
12/05/2026,UPI-VERCEL INC,UPI417222,12/05/2026,1680.00,,416030.00
15/05/2026,LIC OF INDIA PREMIUM,LIC0515,15/05/2026,18500.00,,397530.00
18/05/2026,NEFT CR-INVOICE INV-2026-018-HELIOS LABS,NEFT002499,18/05/2026,,120000.00,517530.00
20/05/2026,UPI-APOLLO PHARMACY,UPI418334,20/05/2026,1899.00,,515631.00
23/05/2026,IRCTC RAIL TICKET BOOKING,IRCTC523,23/05/2026,2450.00,,513181.00
26/05/2026,UPI-AMAZON PAY INDIA,UPI419001,26/05/2026,4599.00,,508582.00
29/05/2026,SMS CHARGES INCL GST,CHG0529,29/05/2026,17.70,,508564.30
31/05/2026,INT.PD:01-05-2026 TO 31-05-2026,INT0531,31/05/2026,,1780.00,510344.30
01/06/2026,SALARY CREDIT ACME TECHNOLOGIES PVT LTD,NEFT002601,01/06/2026,,185000.00,695344.30
04/06/2026,UPI-9876543210@ybl RAVI SHANKAR,UPI420112,04/06/2026,5000.00,,690344.30
05/06/2026,NEFT DR-RENT JUNE 2026-RAMESH KUMAR,NEFT002655,05/06/2026,38000.00,,652344.30
09/06/2026,UPI-GITHUB INC,UPI421008,09/06/2026,2100.00,,650244.30
12/06/2026,ADVANCE TAX ITNS 280 AY 2027-28,TAX0612,12/06/2026,85000.00,,565244.30
15/06/2026,UPI-SPOTIFY INDIA,UPI422115,15/06/2026,199.00,,565045.30
20/06/2026,NEFT CR-INVOICE INV-2026-021-NIMBUS DESIGN,NEFT002788,20/06/2026,,95000.00,660045.30
25/06/2026,UPI-DOMINOS PIZZA,UPI423440,25/06/2026,899.00,,659146.30
30/06/2026,INT.PD:01-06-2026 TO 30-06-2026,INT0630,30/06/2026,,2010.00,661156.30

*** End of statement ***
Closing Balance,,,,,,661156.30
